2226	0.098594
2227	0.098395
2228	0.098195
2229	0.097917
2230	0.097586
2231	0.097342
2232	0.096991
2233	0.09658
2234	0.096262
2235	0.095813
2236	0.095337
2237	0.094809
2238	0.094335
2239	0.093768
2240	0.093178
2241	0.092545
2242	0.091921
2243	0.091222
2244	0.090538
2245	0.089862
2246	0.089121
2247	0.088438
2248	0.087737
2249	0.087025
2250	0.086364
2251	0.08571
2252	0.085066
2253	0.084268
2254	0.083598
2255	0.082849
2256	0.082212
2257	0.081566
2258	0.080982
2259	0.080348
2260	0.07972
2261	0.079056
2262	0.078501
2263	0.077894
2264	0.077286
2265	0.076709
2266	0.076176
2267	0.07563
2268	0.075065
2269	0.074513
2270	0.073985
2271	0.07355
2272	0.073132
2273	0.072682
2274	0.072159
2275	0.07177
2276	0.071299
2277	0.070918
2278	0.070551
2279	0.070173
2280	0.069863
2281	0.069475
2282	0.069026
2283	0.06869
2284	0.068231
2285	0.067807
2286	0.067402
2287	0.066882
2288	0.066449
2289	0.065996
2290	0.065514
2291	0.065186
2292	0.064741
2293	0.06442
2294	0.064027
2295	0.063695
2296	0.063307
2297	0.062973
2298	0.062481
2299	0.062178
2300	0.061815
2301	0.061488
2302	0.061091
2303	0.06083
2304	0.060529
2305	0.060329
2306	0.059848
2307	0.059662
2308	0.059484
2309	0.059281
2310	0.059092
2311	0.058994
2312	0.058813
2313	0.058729
2314	0.058386
2315	0.058366
2316	0.058191
2317	0.058069
2318	0.057932
2319	0.057858
2320	0.057673
2321	0.057531
2322	0.057171
2323	0.057058
2324	0.056853
2325	0.056634
2326	0.056466
2327	0.056315
2328	0.055841
2329	0.055659
2330	0.055402
2331	0.05516
2332	0.054884
2333	0.054602
2334	0.054313
2335	0.053856
2336	0.053603
2337	0.053352
2338	0.053077
2339	0.052835
2340	0.052331
2341	0.052142
2342	0.051848
2343	0.051636
2344	0.051398
2345	0.051198
2346	0.050812
2347	0.050637
2348	0.05045
2349	0.050314
2350	0.050123
2351	0.049752
2352	0.049671
2353	0.049531
2354	0.049292
2355	0.04915
2356	0.04904
2357	0.048669
2358	0.048559
2359	0.048484
2360	0.048288
2361	0.048153
2362	0.047741
2363	0.047643
2364	0.047525
2365	0.047401
2366	0.047034
2367	0.046861
2368	0.046646
2369	0.04643
2370	0.046281
2371	0.045885
2372	0.045713
2373	0.045509
2374	0.045392
2375	0.044951
2376	0.04488
2377	0.044659
2378	0.044426
2379	0.044322
2380	0.043904
2381	0.043719
2382	0.043471
2383	0.043314
2384	0.042911
2385	0.042697
2386	0.042513
2387	0.042349
2388	0.041943
2389	0.04172
2390	0.041505
2391	0.041293
2392	0.040878
2393	0.040656
2394	0.040439
2395	0.040256
2396	0.039873
2397	0.039698
2398	0.039484
2399	0.039306
2400	0.038887
2401	0.038702
2402	0.038452
2403	0.038286
2404	0.03781
2405	0.037607
2406	0.037386
2407	0.03699
2408	0.036767
2409	0.036567
2410	0.036382
2411	0.036018
2412	0.035747
2413	0.035495
2414	0.035072
2415	0.034852
2416	0.03459
2417	0.034345
2418	0.033934
2419	0.033691
2420	0.033427
2421	0.032999
2422	0.032738
2423	0.032488
2424	0.03226
2425	0.0318
2426	0.031575
2427	0.031324
2428	0.030912
2429	0.03067
2430	0.030381
2431	0.029993
2432	0.029741
2433	0.029485
2434	0.02927
2435	0.028835
2436	0.028601
2437	0.02836
2438	0.027977
2439	0.027732
2440	0.027511
2441	0.027109
2442	0.026906
2443	0.026671
2444	0.026242
2445	0.025976
2446	0.025747
2447	0.025371
2448	0.025126
2449	0.024906
2450	0.02454
2451	0.02431
2452	0.024105
2453	0.023701
2454	0.023498
2455	0.023305
2456	0.022935
2457	0.022759
2458	0.022557
2459	0.022225
2460	0.022046
2461	0.021849
2462	0.021535
2463	0.021389
2464	0.021235
2465	0.020961
2466	0.020778
2467	0.020489
2468	0.020302
2469	0.020182
2470	0.019905
2471	0.019793
2472	0.01966
2473	0.01938
2474	0.019248
2475	0.019138
2476	0.01893
2477	0.018834
2478	0.018643
2479	0.018515
2480	0.018404
2481	0.018242
2482	0.018161
2483	0.018119
2484	0.017946
2485	0.017812
2486	0.017522
2487	0.017494
2488	0.0174
2489	0.01716
2490	0.017116
2491	0.01702
2492	0.016897
2493	0.016832
2494	0.016744
2495	0.016708
2496	0.016703
2497	0.016589
2498	0.016594
2499	0.016463
2500	0.016498
